timestamp,mac,rssi,veces
2026-03-24 16:28:52,9A:F0:83:9E:2D:73,-38,1
2026-03-24 16:28:52,9A:F0:83:9E:2D:70,-40,1
2026-03-24 16:28:52,3C:B7:4B:43:0E:38,-52,1
2026-03-24 16:28:52,3E:B7:4B:43:0E:39,-53,1
2026-03-24 16:28:52,D2:57:94:6C:79:A2,-61,1
2026-03-24 16:28:52,44:D4:54:D3:47:57,-61,1
2026-03-24 16:28:52,46:D4:54:D3:48:53,-61,1
2026-03-24 16:28:52,D0:57:94:6C:78:A6,-63,1
2026-03-24 16:28:52,7E:33:F9:78:79:90,-67,1
2026-03-24 16:28:52,7E:33:F9:78:79:93,-69,1
2026-03-24 16:28:52,96:90:10:D4:BC:97,-71,1
2026-03-24 16:28:52,96:90:10:D4:BC:94,-71,1
2026-03-24 16:28:52,7E:33:F9:78:97:CC,-75,1
2026-03-24 16:28:52,7E:33:F9:78:97:CF,-75,1
2026-03-24 16:28:52,A2:FF:70:D5:36:94,-76,1
2026-03-24 16:28:52,92:58:51:8F:88:3C,-77,1
2026-03-24 16:28:52,D8:07:B6:F7:66:88,-77,1
2026-03-24 16:28:52,90:58:51:8F:88:38,-80,1
2026-03-24 16:28:52,5A:2F:F7:98:50:7B,-81,1
2026-03-24 16:28:52,F8:08:4F:3D:A0:84,-82,1
2026-03-24 16:28:52,F0:9B:B8:BD:87:BC,-82,1
2026-03-24 16:28:52,62:88:C7:1B:18:CB,-82,1
2026-03-24 16:28:52,58:2F:F7:98:4F:7F,-82,1
2026-03-24 16:28:52,90:F8:91:68:7F:FD,-86,1
2026-03-24 16:28:52,B2:BB:E5:47:B8:73,-86,1
2026-03-24 16:28:52,5C:76:95:0D:22:60,-89,1
2026-03-24 16:28:52,98:44:CE:59:DF:F8,-90,1
2026-03-24 16:28:52,44:D4:54:96:0E:94,-90,1
2026-03-24 16:28:52,44:D4:54:D4:25:43,-92,1
2026-03-24 16:28:52,3C:B7:4B:44:A6:38,-94,1
2026-03-24 16:28:58,9A:F0:83:9E:2D:73,-37,2
2026-03-24 16:28:58,9A:F0:83:9E:2D:70,-40,2
2026-03-24 16:28:58,3C:B7:4B:43:0E:38,-54,2
2026-03-24 16:28:58,3E:B7:4B:43:0E:39,-54,2
2026-03-24 16:28:58,D0:57:94:6C:78:A6,-61,2
2026-03-24 16:28:58,D2:57:94:6C:79:A2,-62,2
2026-03-24 16:28:58,46:D4:54:D3:48:53,-62,2
2026-03-24 16:28:58,44:D4:54:D3:47:57,-63,2
2026-03-24 16:28:58,7E:33:F9:78:79:90,-67,2
2026-03-24 16:28:58,7E:33:F9:78:79:93,-67,2
2026-03-24 16:28:58,96:90:10:D4:BC:94,-70,2
2026-03-24 16:28:58,96:90:10:D4:BC:97,-70,2
2026-03-24 16:28:58,D8:07:B6:F7:66:88,-72,2
2026-03-24 16:28:58,7E:33:F9:78:97:CC,-73,2
2026-03-24 16:28:58,7E:33:F9:78:97:CF,-74,2
2026-03-24 16:28:58,92:58:51:8F:88:3C,-79,2
2026-03-24 16:28:58,90:58:51:8F:88:38,-80,2
2026-03-24 16:28:58,9A:1A:35:13:46:07,-80,1
2026-03-24 16:28:58,A2:FF:70:D5:36:94,-81,2
2026-03-24 16:28:58,08:7E:64:8F:D5:E0,-81,1
2026-03-24 16:28:58,B0:EC:DD:EE:A0:84,-82,1
2026-03-24 16:28:58,0A:7E:64:8F:D5:E4,-82,1
2026-03-24 16:28:58,F0:9B:B8:BD:05:2C,-83,1
2026-03-24 16:28:58,62:88:C7:1B:18:CB,-83,2
2026-03-24 16:28:58,3C:84:6A:35:8D:56,-83,1
2026-03-24 16:28:58,F0:9B:B8:BD:87:BC,-85,2
2026-03-24 16:28:58,7E:33:F9:6C:E6:93,-85,1
2026-03-24 16:28:58,CC:00:F1:C7:7E:AA,-88,1
2026-03-24 16:28:58,58:2F:F7:0C:5D:FC,-89,1
2026-03-24 16:28:58,14:57:9F:EF:ED:AC,-90,1
2026-03-24 16:28:58,BA:66:85:ED:ED:77,-91,1
2026-03-24 16:28:58,46:05:3F:9E:19:94,-91,1
2026-03-24 16:28:58,CC:F3:C8:15:60:E8,-92,1
2026-03-24 16:28:58,B8:66:85:ED:EC:73,-93,1
2026-03-24 16:28:58,6C:BA:B8:EC:95:BD,-93,1
2026-03-24 16:28:58,90:F8:91:68:7F:FD,-94,2
2026-03-24 16:29:05,9A:F0:83:9E:2D:70,-37,3
2026-03-24 16:29:05,9A:F0:83:9E:2D:73,-39,3
2026-03-24 16:29:05,3C:B7:4B:43:0E:38,-53,3
2026-03-24 16:29:05,3E:B7:4B:43:0E:39,-55,3
2026-03-24 16:29:05,D0:57:94:6C:78:A6,-60,3
2026-03-24 16:29:05,D2:57:94:6C:79:A2,-61,3
2026-03-24 16:29:05,44:D4:54:D3:47:57,-61,3
2026-03-24 16:29:05,46:D4:54:D3:48:53,-62,3
2026-03-24 16:29:05,7E:33:F9:78:79:90,-67,3
2026-03-24 16:29:05,7E:33:F9:78:79:93,-67,3
2026-03-24 16:29:05,96:90:10:D4:BC:94,-70,3
2026-03-24 16:29:05,96:90:10:D4:BC:97,-71,3
2026-03-24 16:29:05,D8:07:B6:F7:66:88,-71,3
2026-03-24 16:29:05,92:58:51:8F:88:3C,-73,3
2026-03-24 16:29:05,7E:33:F9:78:97:CC,-74,3
2026-03-24 16:29:05,7E:33:F9:78:97:CF,-74,3
2026-03-24 16:29:05,A0:FF:70:D5:36:90,-79,1
2026-03-24 16:29:05,A2:FF:70:D5:36:94,-80,3
2026-03-24 16:29:05,90:58:51:8F:88:38,-82,3
2026-03-24 16:29:05,9C:71:3A:64:85:08,-82,1
2026-03-24 16:29:05,58:2F:F7:98:4F:7F,-83,2
2026-03-24 16:29:05,08:7E:64:8F:D5:E0,-83,2
2026-03-24 16:29:05,5A:2F:F7:98:50:7B,-83,2
2026-03-24 16:29:05,9A:1A:35:13:46:07,-83,2
2026-03-24 16:29:05,F0:25:8E:9F:3F:00,-84,1
